title,url,agency,location,salary,closing_date,search_term
IT SPECIALIST (NETWORK),https://www.usajobs.gov/job/832448300,Defense Media Activity,"Fort Meade, Maryland Fort Meade, Maryland",Not specified,Opening and closing dates Open 02/25/2025 to 03/14/2025,IT Support Specialist
IT SPECIALIST (CUSTOMER SUPPORT),https://www.usajobs.gov/job/832502300,Army National Guard Units,"New Castle, Delaware New Castle, Delaware",Not specified,Opening and closing dates Open 02/25/2025 to 03/17/2025,IT Support Specialist
IT SPECIALIST (SYSADMIN),https://www.usajobs.gov/job/831906900,Air National Guard Units,"Springfield, Ohio Springfield, Ohio",Not specified,Opening and closing dates Open 02/19/2025 to 03/19/2025,IT Support Specialist
IT Support Specialist I,https://www.usajobs.gov/job/833309500,U.S. Courts,"New Orleans, Louisiana New Orleans, Louisiana",Not specified,Opening and closing dates Open 03/06/2025 to 06/06/2025,IT Support Specialist
IT SPECIALIST (CUSTSPT),https://www.usajobs.gov/job/832599100,Army National Guard Units,"Indiantown Gap, Pennsylvania Indiantown Gap, Pennsylvania",Not specified,Opening and closing dates Open 02/26/2025 to 03/12/2025,IT Support Specialist
LEAD IT SPECIALIST (PLCYPLN),https://www.usajobs.gov/job/833107300,Defense Commissary Agency,"Fort Gregg-Adams, Virginia Fort Gregg-Adams, Virginia",Not specified,Opening and closing dates Open 03/03/2025 to 03/17/2025,IT Support Specialist
IT Specialist (SYSADMIN),https://www.usajobs.gov/job/832853000,U.S. Army Cyber Command,"Fort Huachuca, Arizona Fort Huachuca, Arizona",Not specified,Opening and closing dates Open 03/03/2025 to 03/17/2025,IT Support Specialist
IT Specialist (SYSADMIN),https://www.usajobs.gov/job/832853700,U.S. Army Cyber Command,"Fort Huachuca, Arizona Fort Huachuca, Arizona",Not specified,Opening and closing dates Open 03/03/2025 to 03/17/2025,IT Support Specialist
IT SPECIALIST (CUSTSPT),https://www.usajobs.gov/job/830337500,Army National Guard Units,"Lincoln, Nebraska Lincoln, Nebraska",Not specified,Opening and closing dates Open 02/04/2025 to 09/26/2025,IT Support Specialist
IT Specialist (APPSW),https://www.usajobs.gov/job/832432000,Defense Contract Management Agency,"Chantilly, Virginia Chantilly, Virginia",Not specified,Opening and closing dates Open 02/25/2025 to 03/10/2025,IT Support Specialist
IT Specialist (CUSTSPT),https://www.usajobs.gov/job/833027200,Immediate Office of the Commander-in-Chief of the U.S. Army,"Wiesbaden, Germany Wiesbaden, Germany",Not specified,Opening and closing dates Open 03/03/2025 to 03/17/2025,IT Support Specialist
IT SPECIALIST (SYSADMIN),https://www.usajobs.gov/job/833283100,Air National Guard Units,"Des Moines, Iowa Des Moines, Iowa",Not specified,Opening and closing dates Open 03/06/2025 to 03/20/2025,IT Support Specialist
IT Specialist (SYSADMIN),https://www.usajobs.gov/job/833214100,Federal Emergency Management Agency,"Round Hill, Virginia Round Hill, Virginia",Not specified,Opening and closing dates Open 03/05/2025 to 03/14/2025,IT Support Specialist
