title,url,agency,location,salary,closing_date,search_term,source_file,description
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-5cfabb2c-5e9a-43cb-829b-d7533c2352d3,Not specified,United Kingdom,Not specified,30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-3288a21d-c667-426d-ac62-f8c92faa69a1,Not specified,"Ukraine, Austria, Belgium, Denmark, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, United Kingdom",Not specified,8 days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-401c60f0-18d0-4db9-b154-e1d9794fd18e,Not specified,"Warsaw, MZ, Poland",Not specified,2 weeks ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-4d68ea3e-b400-4908-9536-8aac12bed7a3,Not specified,NY,Not specified,8 days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-b38bded2-9e89-4c84-8d00-29f4539fe40b,Not specified,"Orlando, FL",Not specified,30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-090bd1f0-4c03-4d5b-9737-ee69b34bd566,Not specified,"Seattle, WA","125,000 - 200,000 USD Annually",30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-5acedba4-129d-4a6c-83c9-47388fb273fc,Not specified,US National,Not specified,30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-d8baea60-269d-4128-8ff0-5248c74cae12,Not specified,"Port Orchard, WA","75,946 - 84,253 USD Annually",30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-e985bc52-4672-4b77-b7c2-f19c444f32e9,Not specified,"Chicago, IL (Not hiring in WY, ME, VT, HI, MS, SD, AK, ND, WV)","103,100 - 141,725 USD Annually",30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-b3e10739-d0fa-4385-8c17-7695e790587c,Not specified,US National,"125,000 - 155,000 USD Annually",30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-7804d5a8-1cb7-426b-9e41-b01244646782,Not specified,"San Francisco, CA, Chicago, IL, Seattle, WA","108,700 - 168,675 USD Annually",30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-e3ba2ddd-4f86-4db9-a9a0-3f340bbf2883,Not specified,"San Francisco, CA, Chicago, IL, Seattle, WA","134,900 - 216,975 USD Annually",30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-0ba8e035-2f68-4954-9e02-180d2fdd3a42,Not specified,"Bulgaria, Croatia, Cyprus, Czechia, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom",Not specified,2 weeks ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-ba474d92-de2d-4ece-b4c1-8c7e4fd386e0,Not specified,"Paris, IDF, France","70,000 - 130,000 EUR Annually",30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-01c3bdef-82e7-4c53-a6bc-7ac3816ecf3d,Not specified,US National,"100,000 - 140,000 USD Annually",30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
Software Engineer,https://www.flexjobs.com/publicjobs/software-engineer-6015b2ba-ee67-43ef-a9f8-c3ecc19f4be0,Not specified,US National,Not specified,30+ days ago,Software Engineer,flexjobs_tech_jobs_20250310_235714.csv,
